periodo_denuncia;anio_denuncia;Departamento;Tipo_denuncia;cantidad;dpto_pjfs;prov_pjfs;dist_pjfs
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;1;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;2;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;4;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;1;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;4;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;96;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;10;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;5;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;6;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;23;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;1;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;1;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
ENERO - DICIEMBRE;2023;AMAZONAS;CONTRA LA SEGURIDAD PUBLICA;3;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS
